,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({""'Adventure'""})","frozenset({""'Action'""})",0.09251072961373391,0.19542918454935623,0.053390557939914166,0.5771282765019717,2.953132500822651,0.03531126148943617,1.902635647508352
1,"frozenset({""'Action'""})","frozenset({""'Adventure'""})",0.19542918454935623,0.09251072961373391,0.053390557939914166,0.2731964422971341,2.9531325008226506,0.03531126148943617,1.2486032309121806
2,"frozenset({""'Comedy'""})","frozenset({""'Action'""})",0.29952789699570814,0.19542918454935623,0.04407725321888412,0.14715575297320535,0.7529876016856669,-0.01445923944077069,0.9433971305494024
3,"frozenset({""'Action'""})","frozenset({""'Comedy'""})",0.19542918454935623,0.29952789699570814,0.04407725321888412,0.22554079279674977,0.7529876016856669,-0.01445923944077069,0.9044661054955461
4,"frozenset({""'Drama'""})","frozenset({""'Action'""})",0.17993562231759658,0.19542918454935623,0.03311158798283262,0.18401908169350029,0.9416151539384114,-0.0020530839580762267,0.9860167038225152
5,"frozenset({""'Action'""})","frozenset({""'Drama'""})",0.19542918454935623,0.17993562231759658,0.03311158798283262,0.16943010870758757,0.9416151539384114,-0.0020530839580762267,0.9873514393910164
6,"frozenset({""'Fantasy'""})","frozenset({""'Action'""})",0.21302575107296137,0.19542918454935623,0.08100858369098712,0.3802760149088345,1.945850696689545,0.03937713487078413,1.2982728356597106
7,"frozenset({""'Action'""})","frozenset({""'Fantasy'""})",0.19542918454935623,0.21302575107296137,0.08100858369098712,0.41451630613813545,1.9458506966895448,0.03937713487078413,1.3441437518714439
8,"frozenset({""'Sci-Fi'""})","frozenset({""'Action'""})",0.07182403433476395,0.19542918454935623,0.035708154506437766,0.49716163728712276,2.543947765189406,0.02167164204534988,1.6000585379164023
9,"frozenset({""'Action'""})","frozenset({""'Sci-Fi'""})",0.19542918454935623,0.07182403433476395,0.035708154506437766,0.1827165916328099,2.543947765189406,0.02167164204534988,1.1356843368686425
10,"frozenset({""'Supernatural'""})","frozenset({""'Action'""})",0.13186695278969957,0.19542918454935623,0.0396137339055794,0.30040683482506103,1.5371646538759025,0.01384308285287996,1.1500552828435
11,"frozenset({""'Action'""})","frozenset({""'Supernatural'""})",0.19542918454935623,0.13186695278969957,0.0396137339055794,0.20270121884264852,1.5371646538759025,0.01384308285287996,1.088842812414847
12,"frozenset({""'Adventure'""})","frozenset({""'Fantasy'""})",0.09251072961373391,0.21302575107296137,0.06051502145922747,0.6541405706332637,3.0707112512853922,0.040807853800954155,2.2754164903584595
13,"frozenset({""'Fantasy'""})","frozenset({""'Adventure'""})",0.21302575107296137,0.09251072961373391,0.06051502145922747,0.2840737382895135,3.0707112512853927,0.040807853800954155,1.267573657960386
14,"frozenset({""'Comedy'""})","frozenset({""'Ecchi'""})",0.29952789699570814,0.07914163090128755,0.046137339055793994,0.1540335291589053,1.9463021851423503,0.022432212787120785,1.0885282110331833
